Time,RespiratoryRate,SpontaneousRespiratoryRate,PeakBreathingPressure,PEEPBreathingPressure,MinimalAirwayPressure,MeanBreathingPressure,InspO2,IntrinsicPEEPBreathingPressure
Thu Jun 10 14:47:44 2021,15,0,15,4,4,8,94,11.5
Thu Jun 10 14:47:47 2021,15,0,15,4,4,9,94,11.5
Thu Jun 10 14:47:50 2021,15,0,15,0,4,9,94,11.5
Thu Jun 10 14:47:53 2021,14,0,15,0,4,9,94,11.5
Thu Jun 10 14:47:56 2021,14,0,15,0,4,8,94,11.5
Thu Jun 10 14:47:59 2021,14,0,15,0,4,8,94,11.5
Thu Jun 10 14:48:02 2021,13,0,15,0,4,6,94,11.5
Thu Jun 10 14:48:05 2021,13,0,15,0,4,5,94,11.5
Thu Jun 10 14:48:08 2021,13,0,15,0,4,4,94,11.5
Thu Jun 10 14:48:11 2021,12,0,15,0,4,3,94,11.5
Thu Jun 10 14:48:14 2021,12,0,11,0,0,2,94,11.5
Thu Jun 10 14:48:17 2021,12,0,11,0,0,1,94,11.5
Thu Jun 10 14:48:20 2021,13,0,11,0,0,1,94,11.5
Thu Jun 10 14:48:23 2021,13,0,11,0,0,0,93,11.5
Thu Jun 10 14:48:26 2021,13,0,11,0,0,0,93,11.5
Thu Jun 10 14:48:29 2021,13,0,11,0,0,0,93,11.5
Thu Jun 10 14:48:35 2021,14,0,11,0,0,0,93,11.5
Thu Jun 10 14:48:38 2021,14,0,11,0,0,0,93,11.5
Thu Jun 10 14:48:41 2021,14,0,11,0,0,0,93,11.5
Thu Jun 10 14:48:44 2021,14,0,0,0,0,0,93,11.5
Thu Jun 10 14:48:47 2021,14,0,0,0,0,0,93,11.5
Thu Jun 10 14:48:50 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:48:53 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:48:56 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:48:59 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:49:02 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:49:05 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:49:08 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:49:11 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:49:14 2021,14,0,0,0,0,0,92,11.5
Thu Jun 10 14:49:20 2021,14,0,0,0,0,0,91,11.5
Thu Jun 10 14:49:23 2021,14,0,0,0,0,0,91,11.5
Thu Jun 10 14:49:26 2021,14,0,0,0,0,0,91,11.5
Thu Jun 10 14:49:29 2021,14,0,0,0,0,0,91,11.5
Thu Jun 10 14:49:32 2021,14,0,0,0,0,0,91,11.5
